Supplier_ID,Supplier_Name,Country,Industry_Sector,ESG_Score,Carbon_Emission_tCO2e,Waste_Management_Score,Water_Usage_m3,Energy_Consumption_MWh,Compliance_Status,Certifications,Lead_Time_Days,Production_Capacity_Units,On_Time_Delivery_Rate,Defect_Rate_Percent,Financial_Stability_Index,Sustainability_Report_Submitted,GHG_Reduction_Target_Percent,Renewable_Energy_Use_Percent,Employee_Training_Hours,Supplier_Tier
S03108,Supplier_3108,,FMCG,58.77,3936.89,59.76,18735.38,6455.85,Partially Compliant,ISO 9001,67.04,348442.54,74.88,5.18,0.85,No,2.29,88.58,86.74,Tier 1
S03109,Supplier_3109,Malaysia,Chemicals,48.23,1820.46,90.14,35115.47,2633.0,Non-Compliant,ISO 14001,15.15,418916.67,90.23,3.23,0.98,Yes,5.81,76.76,72.17,Tier 3
S03110,Supplier_3110,Thailand,Plastics,96.79,2595.34,66.02,80534.48,1290.68,Partially Compliant,ISO 14001,73.3,284188.19,74.68,3.72,0.9,No,7.95,37.86,116.59,Tier 1
S03111,Supplier_3111,Vietnam,FMCG,86.08,3840.42,90.69,28049.16,8819.21,Compliant,None,62.89,28014.47,91.33,0.57,0.79,Yes,32.41,20.35,42.61,Tier 1
S03112,Supplier_3112,Indonesia,Metals,57.97,3423.11,70.26,4723.73,1262.54,Non-Compliant,ISO 14001,60.25,275013.86,94.62,3.02,0.87,Yes,43.88,73.14,124.77,Tier 1
S03113,Supplier_3113,India,Plastics,44.41,1492.17,66.14,69282.99,541.88,Partially Compliant,ISO 14001,76.87,177258.41,94.47,1.12,0.81,No,42.21,101.6,132.38,Tier 1
S03114,Supplier_3114,China,Chemicals,49.84,4563.28,82.95,49750.79,1979.18,Non-Compliant,ISO 45001,43.18,169022.21,93.61,4.55,0.78,Yes,37.23,61.5,36.85,Tier 2
S03115,Supplier_3115,Malaysia,Electronics,46.04,3131.25,73.67,36898.82,2553.76,Partially Compliant,ISO 14001,80.49,406464.76,72.78,2.69,0.72,No,7.96,48.21,199.54,Tier 2
S03116,Supplier_3116,Malaysia,Electronics,46.12,4134.71,101.85,90621.73,5380.95,Compliant,None,44.7,158083.76,95.31,4.33,0.86,No,21.84,47.95,156.4,Tier 3
S03117,Supplier_3117,China,Textiles,77.82,4456.54,37.36,88767.35,9468.87,Non-Compliant,ISO 45001,28.73,401735.15,73.38,0.29,0.37,No,34.12,23.41,97.99,Tier 3
S03118,Supplier_3118,,Metals,79.73,4960.35,69.48,98317.15,3527.33,Partially Compliant,ISO 45001,15.21,170550.09,98.87,4.16,0.93,Yes,20.34,3.0,136.69,Tier 3
S03119,Supplier_3119,Vietnam,Automotive,47.97,159.57,54.69,42693.85,6665.83,Partially Compliant,ISO 45001,67.75,391054.2,84.86,1.35,0.64,Yes,14.08,51.55,92.15,Tier 3
S03120,Supplier_3120,Malaysia,Textiles,66.4,484.23,64.67,13124.14,7444.66,Compliant,ISO 14001,82.07,225820.2,80.96,1.22,0.41,No,36.81,50.04,160.0,
S03121,Supplier_3121,Malaysia,Automotive,68.26,1489.06,55.42,26466.22,9154.35,Partially Compliant,ISO 14001,86.29,453327.17,94.5,1.27,0.34,No,1.02,82.55,65.16,Tier 2
S03122,Supplier_3122,Malaysia,Plastics,54.96,294.3,92.53,13255.44,1395.74,Non-Compliant,None,38.32,150545.28,82.49,0.44,0.33,No,28.87,21.98,92.24,Tier 3
S03123,Supplier_3123,Malaysia,Metals,69.42,641.58,79.38,49145.94,2962.07,Compliant,ISO 14001,67.63,261208.37,71.77,2.44,0.6,Yes,23.46,44.62,162.24,Tier 1
S03124,Supplier_3124,Singapore,Plastics,62.52,4185.69,67.28,32093.35,2944.5,Compliant,ISO 14001,37.14,454933.91,90.99,2.83,0.74,Yes,4.9,71.78,18.01,Tier 3
S03125,Supplier_3125,Malaysia,Textiles,74.44,128.35,55.41,53300.85,7962.36,Compliant,ISO 9001,43.84,513621.4,84.84,0.82,0.74,,38.68,63.49,74.79,Tier 3
S03126,Supplier_3126,Thailand,,58.11,310.74,97.3,29432.64,2334.19,Compliant,ISO 14001,84.44,441946.68,87.77,2.51,0.79,Yes,33.4,42.81,52.95,Tier 2
S03127,Supplier_3127,Malaysia,Automotive,44.13,4923.12,73.46,65078.84,4492.28,Compliant,,62.61,35757.66,74.33,5.01,0.92,No,9.96,0.27,153.12,Tier 2
S03128,Supplier_3128,Singapore,Metals,44.97,1182.06,95.99,16634.3,891.66,Partially Compliant,ISO 45001,24.36,150464.94,91.49,3.26,0.99,Yes,3.33,1.08,72.87,Tier 2
S03129,Supplier_3129,Singapore,Textiles,77.19,4750.77,46.51,11841.87,9291.76,Partially Compliant,ISO 14001,34.33,35475.8,72.84,0.81,0.61,Yes,20.7,21.04,190.93,Tier 2
S03130,Supplier_3130,Thailand,Textiles,42.02,2823.11,74.34,41640.91,681.79,Compliant,ISO 9001,53.39,197768.62,73.86,1.49,0.86,No,4.75,91.99,0.96,Tier 1
S03131,Supplier_3131,Indonesia,Metals,66.0,4006.73,49.38,55194.65,1173.77,Non-Compliant,ISO 45001,71.45,325882.83,96.38,1.98,0.76,No,33.4,81.11,146.03,Tier 1
S03132,Supplier_3132,China,Automotive,91.69,1798.49,60.65,71343.37,7775.1,Partially Compliant,ISO 9001,43.27,402639.28,94.51,3.68,0.64,,43.22,41.58,44.24,Tier 3
S03133,Supplier_3133,Indonesia,Automotive,51.71,2728.51,83.2,38018.65,2914.79,Compliant,ISO 45001,67.31,201863.46,78.58,4.33,0.6,No,40.7,16.71,93.53,Tier 3
S03134,Supplier_3134,Thailand,Automotive,93.31,1438.04,43.8,59372.29,8534.16,Compliant,ISO 9001,6.14,469336.44,89.08,1.76,0.73,,42.55,86.72,147.21,Tier 1
S03135,Supplier_3135,Indonesia,Electronics,76.25,881.18,68.93,21581.15,7870.67,Non-Compliant,ISO 14001,16.86,218830.99,91.2,2.53,0.37,No,14.46,75.34,6.77,Tier 2
S03136,Supplier_3136,Vietnam,Plastics,62.42,420.36,85.61,97643.62,7041.92,,ISO 9001,12.74,370483.73,98.29,2.99,0.35,No,11.47,77.81,204.93,Tier 1
S03137,Supplier_3137,Singapore,FMCG,92.2,1709.05,46.99,32352.65,362.59,Partially Compliant,ISO 9001,18.87,200204.92,91.36,1.51,0.86,Yes,25.62,21.66,45.76,Tier 1
S03138,Supplier_3138,Singapore,Plastics,80.7,2406.54,91.31,24561.17,7785.77,Partially Compliant,ISO 14001,59.91,40986.76,92.62,2.78,1.03,,23.24,83.1,81.44,Tier 3
S03139,Supplier_3139,Thailand,Automotive,51.82,3801.62,48.13,79450.5,1391.26,Partially Compliant,None,10.01,195214.74,91.52,4.73,0.56,Yes,30.61,65.82,84.45,Tier 2
S03140,Supplier_3140,Indonesia,Automotive,50.38,3670.87,48.36,86205.11,907.1,Non-Compliant,None,20.56,511112.07,73.6,1.18,0.58,No,8.34,72.56,135.64,Tier 2
S03141,Supplier_3141,China,Plastics,57.67,4633.53,61.87,60314.37,8573.83,Non-Compliant,ISO 45001,26.68,218801.79,82.01,4.78,0.75,,3.53,30.95,153.68,Tier 1
S03142,Supplier_3142,Vietnam,Chemicals,84.14,2404.52,29.53,78811.75,293.71,Non-Compliant,ISO 45001,65.5,280986.5,89.12,3.07,0.95,No,2.54,76.03,136.7,Tier 2
S03143,Supplier_3143,Malaysia,Chemicals,50.68,1532.94,77.5,46196.82,6584.29,Partially Compliant,ISO 45001,24.5,517595.91,77.52,2.24,0.33,Yes,12.8,1.7,169.57,Tier 2
S03144,Supplier_3144,Vietnam,FMCG,95.76,1741.55,67.55,95669.88,8655.15,Partially Compliant,ISO 45001,36.72,469040.49,96.88,1.71,0.56,Yes,1.96,22.45,121.07,Tier 2
S03145,Supplier_3145,Singapore,FMCG,39.94,1314.11,56.35,39756.22,4443.53,Partially Compliant,ISO 45001,83.29,257266.7,81.79,0.3,0.86,Yes,44.55,8.72,3.21,Tier 1
S03146,Supplier_3146,China,,55.87,3814.27,43.86,11633.5,8131.36,Partially Compliant,ISO 14001,13.01,163443.44,82.73,2.26,0.3,Yes,43.03,16.01,35.07,Tier 2
S03147,Supplier_3147,China,Chemicals,87.64,3509.74,37.23,55617.7,7459.39,Compliant,None,51.37,70243.22,95.02,2.24,0.47,No,1.97,47.51,38.51,Tier 1
S03148,Supplier_3148,Indonesia,Chemicals,53.28,2885.04,66.27,61529.57,6950.56,,ISO 14001,85.63,419561.9,93.26,2.46,0.98,,21.31,28.22,53.25,Tier 3
S03149,Supplier_3149,Singapore,Electronics,55.16,2792.95,53.91,51539.81,2614.8,Partially Compliant,None,34.98,249198.82,82.86,1.54,0.87,No,34.34,58.1,134.61,Tier 3
S03150,Supplier_3150,Singapore,FMCG,68.7,3374.07,68.71,91304.35,6212.2,Partially Compliant,None,59.04,494622.19,94.82,1.73,0.95,No,39.11,63.27,119.47,Tier 3
S03151,Supplier_3151,Malaysia,Metals,63.67,2329.38,49.41,13785.13,1462.63,Partially Compliant,ISO 14001,49.27,491075.97,79.11,1.2,1.0,No,16.12,29.02,133.72,Tier 3
S03152,Supplier_3152,China,Plastics,60.24,208.49,43.78,3754.42,455.96,,None,42.56,485637.59,86.2,3.14,0.86,Yes,4.37,41.94,90.31,Tier 3
S03153,Supplier_3153,Vietnam,Electronics,75.58,662.59,93.82,24852.83,3254.26,Compliant,ISO 45001,58.01,146101.18,92.65,1.45,0.76,Yes,16.87,24.28,202.05,Tier 1
S03154,Supplier_3154,Vietnam,FMCG,54.18,1521.69,56.34,12460.41,9238.93,Compliant,,29.7,95779.74,70.91,3.09,0.48,No,32.58,86.46,23.43,Tier 2
S03155,Supplier_3155,Thailand,Textiles,59.76,1447.44,43.78,4991.0,1720.28,Compliant,ISO 9001,8.07,298953.24,84.73,2.12,0.87,Yes,1.79,54.78,137.85,Tier 3
S03156,Supplier_3156,Vietnam,Automotive,77.67,686.59,77.33,93741.67,4108.78,Partially Compliant,None,76.76,183383.03,98.07,3.64,0.98,No,44.41,42.53,65.07,Tier 2
S03157,Supplier_3157,China,Textiles,40.91,4821.46,80.66,26425.1,9715.46,Compliant,ISO 14001,32.03,448199.37,83.66,4.17,0.49,No,36.83,78.7,127.1,Tier 3
S03158,Supplier_3158,China,Electronics,50.67,4467.32,39.47,60437.22,8373.67,Partially Compliant,None,8.2,294517.22,80.12,2.11,0.34,Yes,15.59,82.24,90.22,Tier 1
S03159,Supplier_3159,India,Metals,65.09,2927.04,52.67,78099.87,6910.78,Partially Compliant,None,15.48,120591.18,92.71,3.34,0.41,No,34.23,103.63,111.51,Tier 2
S03160,Supplier_3160,Singapore,Electronics,53.84,3517.56,39.9,1545.69,8697.34,Partially Compliant,None,92.95,336799.02,83.25,2.23,0.57,No,13.78,25.14,59.5,Tier 1
S03161,Supplier_3161,China,Plastics,92.25,935.15,92.43,12645.63,9050.66,Compliant,None,32.14,199653.37,94.18,4.6,0.86,No,7.31,36.4,135.67,Tier 1
S03162,Supplier_3162,,Automotive,95.27,1627.97,40.32,18137.47,2783.77,,ISO 45001,26.88,213808.66,73.46,4.86,0.34,No,44.5,19.54,28.71,Tier 1
S03163,Supplier_3163,Indonesia,Automotive,87.44,4284.19,86.75,47881.71,2874.9,Compliant,ISO 14001,64.8,53230.13,75.37,4.38,0.51,Yes,25.48,97.98,47.23,Tier 3
S03164,Supplier_3164,Malaysia,Textiles,48.36,1779.71,39.55,18783.96,7799.94,Partially Compliant,None,24.95,333808.86,76.49,4.6,0.43,Yes,16.33,19.8,103.48,Tier 2
S03165,Supplier_3165,Malaysia,Textiles,82.33,1143.33,79.55,61945.18,1999.91,Compliant,ISO 9001,43.57,200962.31,75.83,2.37,0.5,Yes,46.63,34.83,14.09,Tier 3
S03166,Supplier_3166,Indonesia,FMCG,50.97,2625.38,63.19,39126.06,4417.84,Partially Compliant,ISO 45001,7.35,372815.62,93.07,3.14,0.95,Yes,42.05,6.21,177.16,Tier 2
S03167,Supplier_3167,Singapore,Textiles,84.52,1476.48,49.59,24434.88,9620.45,Compliant,None,79.99,178960.81,84.05,4.9,0.34,,9.06,37.29,190.25,Tier 2
S03168,Supplier_3168,Thailand,Electronics,79.13,2735.75,45.46,93362.79,530.6,Compliant,ISO 9001,23.37,353174.34,73.44,0.77,0.56,No,26.29,41.26,173.74,Tier 2
S03169,Supplier_3169,Thailand,Electronics,58.07,4158.73,65.06,95351.75,8844.34,Partially Compliant,None,79.21,253023.04,90.91,4.91,0.71,Yes,42.88,77.65,62.14,Tier 2
S03170,Supplier_3170,India,Metals,69.05,3146.37,48.95,16869.1,5719.93,Partially Compliant,ISO 9001,85.77,193345.92,97.94,4.15,0.41,Yes,29.8,33.54,60.21,Tier 2
S03171,Supplier_3171,Vietnam,Chemicals,41.01,N/A,54.96,48387.9,7139.39,Compliant,ISO 14001,17.64,152595.75,94.25,0.92,0.48,No,14.21,77.22,155.66,Tier 1
S03172,Supplier_3172,Singapore,Plastics,83.35,4392.54,31.89,34121.33,5700.89,Partially Compliant,ISO 45001,71.92,376244.58,82.21,2.72,0.61,No,10.29,49.45,113.27,Tier 2
S03173,Supplier_3173,China,FMCG,59.11,1325.18,37.44,44537.86,2512.53,Non-Compliant,None,20.17,333323.5,85.37,4.13,0.69,No,46.7,50.28,54.95,Tier 2
S03174,Supplier_3174,Thailand,Chemicals,56.9,1103.93,78.7,9551.97,2255.8,Non-Compliant,ISO 14001,27.34,395130.21,95.36,0.93,0.98,Yes,1.57,24.88,190.7,Tier 1
S03175,Supplier_3175,Vietnam,Textiles,68.27,4453.64,41.75,95140.43,9390.01,Compliant,ISO 45001,27.22,487177.06,97.4,2.48,0.33,No,14.48,51.88,26.71,Tier 1
S03176,Supplier_3176,Thailand,Plastics,45.54,3027.98,44.01,19151.96,5782.13,Compliant,ISO 9001,80.04,294030.66,95.87,2.49,0.86,Yes,26.29,44.21,134.1,Tier 2
S03177,Supplier_3177,Singapore,Automotive,42.38,2040.2,75.26,51809.05,2766.14,,ISO 14001,23.93,279218.41,88.73,1.76,0.63,Yes,32.5,4.85,89.85,Tier 2
S03178,Supplier_3178,Malaysia,Electronics,71.64,4585.73,81.63,82601.83,7599.79,Partially Compliant,ISO 9001,69.69,57934.39,99.72,0.31,0.81,Yes,33.89,79.78,76.8,Tier 1
S03179,Supplier_3179,China,,43.55,657.82,63.58,15479.23,10025.21,Compliant,ISO 9001,31.42,251559.91,97.43,3.21,0.72,Yes,46.84,7.05,84.73,Tier 1
S03180,Supplier_3180,Indonesia,Plastics,61.25,1852.21,42.0,85032.07,9956.4,Non-Compliant,ISO 14001,25.76,167732.71,90.64,1.27,0.48,No,6.98,45.61,28.98,Tier 3
S03181,Supplier_3181,Malaysia,,58.43,2211.75,75.84,61688.62,5804.03,Non-Compliant,None,7.11,312899.24,69.93,2.42,0.55,Yes,1.73,77.74,78.96,Tier 1
S03182,Supplier_3182,Thailand,Chemicals,86.07,3772.2,77.76,65060.44,6365.06,Partially Compliant,None,27.61,412648.75,81.36,2.84,0.63,Yes,46.58,37.28,167.07,Tier 1
S03183,Supplier_3183,Thailand,Automotive,40.48,1776.23,54.83,61652.94,392.32,,None,48.4,290307.05,100.58,4.72,0.32,Yes,16.09,33.81,162.15,Tier 1
S03184,Supplier_3184,Vietnam,Textiles,74.13,4150.05,60.06,66408.56,3023.97,Non-Compliant,ISO 14001,17.02,46345.87,92.91,4.03,0.87,Yes,39.41,76.09,34.94,Tier 3
S03185,Supplier_3185,China,Chemicals,60.93,1695.27,36.26,57148.62,1457.37,Non-Compliant,ISO 9001,5.32,389538.53,77.14,3.22,0.39,Yes,3.78,59.53,69.68,Tier 1
S03186,Supplier_3186,Thailand,Automotive,74.2,480.58,32.27,74788.49,2919.7,Non-Compliant,ISO 14001,32.19,161574.48,92.04,4.04,0.66,Yes,1.79,38.02,79.05,Tier 1
S03187,Supplier_3187,Thailand,Plastics,62.23,2225.04,102.93,6761.05,4801.7,Compliant,ISO 45001,59.33,94436.0,74.31,1.33,0.4,Yes,47.9,7.21,191.1,Tier 2
S03188,Supplier_3188,Indonesia,Chemicals,43.52,974.2,76.99,43170.39,7369.78,Compliant,ISO 45001,45.26,370210.51,98.77,1.33,0.61,No,45.93,88.77,0.63,Tier 1
S03189,Supplier_3189,Thailand,Automotive,48.42,3926.35,70.65,96611.7,4856.12,Partially Compliant,ISO 9001,10.44,111173.14,82.01,3.91,0.57,Yes,11.29,59.87,149.68,Tier 3
S03190,Supplier_3190,China,FMCG,72.21,4689.58,42.79,95077.34,1980.71,Compliant,ISO 14001,13.97,446889.18,94.4,2.14,0.38,No,30.64,64.86,102.23,Tier 1
S03191,Supplier_3191,Malaysia,Metals,44.47,1191.56,43.15,65667.45,1025.52,Partially Compliant,None,76.4,112432.49,84.5,3.45,0.57,Yes,32.61,75.27,68.67,Tier 1
S03192,Supplier_3192,Vietnam,Electronics,69.07,2701.56,84.55,15913.64,2852.16,Non-Compliant,None,43.26,251238.51,73.21,3.49,0.43,No,31.1,10.65,0.63,Tier 1
S03193,Supplier_3193,Indonesia,Chemicals,85.43,N/A,37.96,89776.44,4108.7,Non-Compliant,ISO 45001,45.58,139436.87,97.5,3.11,0.35,No,10.82,91.09,114.54,Tier 3
S03194,Supplier_3194,Singapore,Electronics,42.97,2132.38,66.93,34467.93,4993.69,Partially Compliant,None,15.78,37630.24,88.7,2.58,0.67,No,42.24,32.06,38.41,Tier 3
S03195,Supplier_3195,Singapore,FMCG,56.14,4635.38,63.93,84575.78,2338.99,Partially Compliant,None,74.15,267210.98,77.08,2.8,0.51,Yes,51.44,77.12,21.65,Tier 2
S03196,Supplier_3196,Thailand,Automotive,52.8,5097.86,63.98,31053.97,7986.87,Non-Compliant,ISO 14001,6.01,170156.28,83.41,0.75,0.93,No,13.23,57.17,175.18,Tier 2
S03197,Supplier_3197,Thailand,Automotive,71.51,2225.57,98.53,89781.81,4517.94,Partially Compliant,ISO 9001,64.51,450710.66,89.9,3.2,0.79,No,29.23,45.15,55.86,Tier 2
S03198,Supplier_3198,Indonesia,FMCG,62.61,3293.22,83.7,81742.32,8615.46,Non-Compliant,ISO 9001,83.58,21716.93,88.61,3.8,0.32,Yes,2.97,23.85,30.46,Tier 3
S03199,Supplier_3199,Singapore,Metals,68.35,1763.75,62.66,24456.41,3068.53,Non-Compliant,ISO 14001,83.88,4883.73,93.17,4.6,0.68,Yes,31.56,98.59,159.77,Tier 2
S03200,Supplier_3200,Vietnam,Plastics,44.42,3239.27,66.94,70448.23,3410.17,Non-Compliant,ISO 45001,5.97,412649.67,98.45,1.79,1.0,No,46.36,76.65,99.11,Tier 3
S03201,Supplier_3201,Singapore,Plastics,74.14,2403.89,59.59,52032.98,5983.21,Compliant,ISO 45001,53.05,339026.17,88.33,4.87,0.54,No,4.89,3.8,39.89,Tier 2
S03202,Supplier_3202,China,Plastics,63.38,2524.81,30.72,19888.54,7797.78,Non-Compliant,None,8.76,392910.08,98.29,2.45,0.71,Yes,25.89,1.96,120.39,Tier 2
S03203,Supplier_3203,China,Metals,91.86,2859.31,42.16,12703.16,9406.85,Compliant,None,22.47,26612.1,95.75,0.36,0.39,No,25.75,17.35,85.6,Tier 2
S03204,Supplier_3204,China,Metals,51.53,3272.12,41.86,22587.99,4828.3,Partially Compliant,None,13.16,495515.67,91.33,1.33,0.37,Yes,6.69,88.84,106.08,Tier 3
S03205,Supplier_3205,Singapore,Chemicals,69.99,3070.97,82.36,14805.27,3081.59,Compliant,ISO 9001,82.49,499985.04,87.75,3.97,0.91,Yes,37.51,15.86,40.59,Tier 1
S03206,Supplier_3206,India,Textiles,58.61,2795.1,61.42,28936.0,8013.63,Compliant,ISO 9001,73.1,70794.61,100.42,1.61,0.64,Yes,0.77,96.2,46.92,Tier 1
S03207,Supplier_3207,Singapore,Textiles,81.15,4764.93,48.57,67420.99,10000.71,Non-Compliant,None,9.7,355878.56,88.51,2.58,0.67,Yes,17.9,102.55,201.17,Tier 1
S03208,Supplier_3208,Malaysia,Metals,70.32,1955.82,54.68,97729.06,8213.36,Compliant,ISO 14001,65.96,419906.37,95.28,5.17,0.32,Yes,49.08,55.04,135.67,
S03209,Supplier_3209,Vietnam,Electronics,94.22,591.83,40.85,61841.7,4871.7,Non-Compliant,ISO 45001,57.22,375979.1,98.64,0.41,0.54,No,20.11,95.33,80.79,Tier 3
S03210,Supplier_3210,India,Metals,78.83,2252.9,31.89,19474.33,8217.68,Compliant,ISO 45001,43.8,355126.81,85.54,0.77,0.34,Yes,22.52,11.19,174.77,Tier 2
S03211,Supplier_3211,Indonesia,Electronics,74.99,N/A,100.2,1812.2,1626.47,Non-Compliant,ISO 45001,70.74,172743.46,96.35,0.68,0.83,No,1.0,59.93,40.1,Tier 2
S03212,Supplier_3212,Indonesia,Metals,54.63,1346.49,52.94,53299.7,1419.22,Partially Compliant,ISO 14001,71.02,390410.02,91.99,1.75,0.9,No,41.45,37.12,166.13,Tier 3
S03213,Supplier_3213,Malaysia,,69.94,4073.96,92.73,38761.16,8790.15,Partially Compliant,None,87.45,469309.05,72.96,0.81,0.82,No,46.07,8.41,174.73,Tier 3
S03214,Supplier_3214,Thailand,Automotive,55.36,2051.06,80.65,71121.35,8343.53,Partially Compliant,ISO 14001,26.09,342863.85,94.17,1.04,0.77,Yes,50.08,16.71,117.28,Tier 2
S03215,Supplier_3215,Malaysia,Metals,65.04,671.2,32.48,6208.72,7789.78,Compliant,ISO 14001,74.02,273731.57,97.23,3.45,0.91,No,5.61,3.74,66.7,Tier 1
S03216,Supplier_3216,Indonesia,Metals,57.2,2017.13,101.31,14731.22,7133.72,Partially Compliant,ISO 14001,11.23,103259.07,90.63,3.86,0.99,No,0.99,72.83,107.52,Tier 2
S03217,Supplier_3217,Indonesia,Automotive,82.3,1347.49,61.24,64530.81,1231.1,Compliant,ISO 9001,6.76,79844.14,81.47,4.48,0.35,Yes,40.45,71.45,154.25,Tier 1
S03218,Supplier_3218,,Textiles,57.45,4444.5,70.51,95188.48,8876.03,Partially Compliant,ISO 14001,27.6,283716.2,85.02,3.25,0.84,No,30.75,62.05,174.82,Tier 1
S03219,Supplier_3219,Malaysia,Automotive,79.85,4102.41,67.86,29736.47,6801.58,Non-Compliant,None,20.75,112249.57,92.71,2.35,0.85,Yes,27.95,82.74,140.99,Tier 3
S03220,Supplier_3220,Singapore,FMCG,76.72,3098.61,43.03,85651.28,7641.5,Compliant,ISO 14001,43.65,352033.82,93.66,1.13,0.32,No,45.45,69.56,63.61,Tier 2
S03221,Supplier_3221,China,Metals,60.2,4363.53,35.65,29187.31,4257.97,Partially Compliant,ISO 45001,37.31,167233.81,91.49,4.46,0.48,Yes,22.75,44.78,0.08,Tier 1
S03222,Supplier_3222,Malaysia,FMCG,49.56,1757.63,57.57,17810.1,3093.11,Non-Compliant,ISO 45001,52.51,371149.19,88.68,1.28,0.65,,15.12,28.94,133.76,Tier 2
S03223,Supplier_3223,Vietnam,Electronics,47.1,5026.51,92.15,80373.62,2796.4,Non-Compliant,ISO 14001,19.82,173229.91,78.84,3.31,0.58,No,20.63,42.01,182.96,Tier 2
S03224,Supplier_3224,,Plastics,88.52,3127.84,70.05,25834.39,218.73,Compliant,ISO 14001,12.52,474357.54,97.0,0.4,0.81,Yes,48.46,69.99,98.53,Tier 3
S03225,Supplier_3225,India,Chemicals,89.05,714.64,47.79,79554.66,7918.55,,ISO 14001,43.36,344915.4,86.61,2.71,0.35,Yes,20.11,18.11,111.84,Tier 3
S03226,Supplier_3226,China,Automotive,83.61,2158.3,N/A,27557.98,6414.92,Non-Compliant,ISO 9001,47.46,225451.09,72.23,4.89,0.55,No,4.69,19.18,17.72,Tier 3
S03227,Supplier_3227,India,Chemicals,42.36,4491.15,36.46,53327.43,9035.68,Compliant,ISO 14001,17.55,252965.16,69.85,2.3,0.49,Yes,37.94,6.58,67.12,Tier 2
S03228,Supplier_3228,China,FMCG,46.27,3720.93,82.47,21404.15,7847.44,Partially Compliant,ISO 9001,51.02,208294.46,88.93,3.66,0.42,Yes,1.24,28.44,5.36,Tier 2
S03229,Supplier_3229,China,Electronics,79.07,521.36,45.18,25101.63,1432.29,Compliant,None,39.77,137378.17,78.89,1.78,0.75,Yes,3.46,75.86,13.86,Tier 1
S03230,Supplier_3230,Singapore,FMCG,54.45,843.38,65.03,86671.05,7873.46,Non-Compliant,ISO 9001,10.23,452947.8,94.79,1.25,0.61,Yes,4.21,73.73,85.76,Tier 1
S03231,Supplier_3231,China,Plastics,43.81,2317.0,59.82,75730.17,3950.13,Compliant,ISO 14001,8.81,302377.74,83.05,2.73,0.87,No,30.54,87.15,62.21,Tier 2
S03232,Supplier_3232,China,Chemicals,50.3,4807.56,41.08,29747.02,532.37,Compliant,None,15.83,407318.73,79.31,3.67,0.94,Yes,32.62,88.52,174.21,Tier 3
S03233,Supplier_3233,Thailand,Textiles,50.09,1327.31,45.86,67297.61,7826.85,Partially Compliant,ISO 9001,92.6,301632.99,92.35,2.63,0.63,,23.23,56.18,123.8,
S03234,Supplier_3234,India,Metals,64.28,922.03,45.79,74993.46,2007.44,Non-Compliant,,8.69,340121.26,96.21,4.23,0.91,Yes,18.13,0.21,175.04,Tier 1
S03235,Supplier_3235,Vietnam,Electronics,N/A,1531.43,84.08,55497.59,7985.36,Non-Compliant,ISO 45001,56.22,33572.88,94.03,2.21,0.68,No,48.56,23.83,135.49,Tier 3
S03236,Supplier_3236,Indonesia,Textiles,59.23,4431.64,51.87,84450.01,1457.85,Compliant,ISO 9001,70.15,60528.29,74.61,4.69,0.38,Yes,31.9,14.52,192.96,Tier 1
S03237,Supplier_3237,Thailand,Plastics,54.99,1982.55,90.19,26100.56,6495.69,Compliant,None,41.29,402664.2,76.44,2.48,0.74,No,1.56,67.33,177.35,Tier 3
S03238,Supplier_3238,India,FMCG,82.14,3670.97,51.62,58474.09,8153.78,Non-Compliant,ISO 9001,62.49,330333.79,78.26,1.8,0.4,Yes,8.12,48.06,14.05,Tier 1
S03239,Supplier_3239,Malaysia,Electronics,43.76,3391.78,54.59,4595.17,9034.23,Non-Compliant,ISO 9001,69.08,126810.11,81.78,1.25,0.49,No,8.71,14.95,102.18,Tier 2
S03240,Supplier_3240,Malaysia,Plastics,63.61,2591.82,97.51,95871.53,4327.09,Non-Compliant,ISO 14001,75.72,54679.07,78.76,0.84,0.67,No,20.72,98.94,155.99,Tier 1
S03241,Supplier_3241,China,Chemicals,62.24,4950.92,93.43,44179.55,9067.35,Non-Compliant,ISO 45001,8.44,478583.67,90.3,2.32,0.49,Yes,14.43,51.04,150.61,Tier 3
S03242,Supplier_3242,Singapore,FMCG,41.87,586.57,67.55,27741.98,5943.62,Partially Compliant,ISO 45001,51.81,417316.88,77.69,2.29,0.45,No,22.56,8.38,190.97,Tier 2
S03243,Supplier_3243,Malaysia,,61.92,2948.28,81.1,14254.9,8369.54,Compliant,ISO 45001,86.49,360770.2,99.93,0.95,0.4,Yes,48.31,47.01,151.3,
S03244,Supplier_3244,Thailand,Metals,93.24,4746.6,75.82,18872.15,4924.88,Non-Compliant,,55.2,440167.93,98.36,3.0,0.6,No,37.21,97.12,158.48,Tier 3
S03245,Supplier_3245,China,Metals,92.41,2387.61,60.56,30522.25,9691.21,Partially Compliant,ISO 45001,51.34,370477.83,89.28,1.11,0.46,Yes,26.64,88.07,85.98,Tier 1
S03246,Supplier_3246,Singapore,Chemicals,40.3,2637.37,47.98,57719.82,4754.13,Partially Compliant,ISO 14001,48.2,14840.81,91.25,0.78,0.36,No,20.94,39.01,91.32,Tier 1
S03247,Supplier_3247,Vietnam,FMCG,60.6,480.11,91.95,71004.76,8177.41,Compliant,ISO 45001,74.42,372235.49,98.93,3.2,0.94,Yes,22.61,14.41,140.56,Tier 3
